gene_id,Peromyscus_F_1,Peromyscus_F_2,Peromyscus_M_1,Peromyscus_M_2,Chromosome,species
LOC114693421,0,3.976488756,8.378951382,3.606774368,Autosome,Peromyscus
LOC114693393,0.193652693,0.30804293,0.38539385,0.419103917,Autosome,Peromyscus
Akap6,0.474062516,0.59230432,0.729918673,0.790363515,Autosome,Peromyscus
LOC114693422,0,0,0,0,Autosome,Peromyscus
Npas3,1.145689734,1.046526556,1.137348563,1.3474197,Autosome,Peromyscus
LOC119089044,25.73646162,23.11068926,28.69648626,15.72147818,Autosome,Peromyscus
LOC119088974,1.654089046,1.452478226,1.688579557,2.135151552,Autosome,Peromyscus
Egln3,3.308481297,2.898742253,2.927412591,1.879968594,Autosome,Peromyscus
LOC114693418,2.797205559,0,0,0,Autosome,Peromyscus
LOC114693419,11.56682299,3.833191864,16.15401438,3.476800517,Autosome,Peromyscus
LOC114693429,0,0,0,6.030075896,Autosome,Peromyscus
LOC119088975,0.825882768,1.642162473,1.384095404,1.787378729,Autosome,Peromyscus
Sptssa,0.383556597,0.305061335,0.241050672,0.449634625,Autosome,Peromyscus
LOC114693366,0.038372855,0.019074881,0.221062176,0.086506962,Autosome,Peromyscus
LOC114693425,0,0,0,0,Autosome,Peromyscus
LOC114693367,0,0,1.541784691,0,Autosome,Peromyscus
LOC114693424,5.219176226,20.75533155,24.60039689,9.412801399,Autosome,Peromyscus
LOC114693430,18.26711679,41.51066311,13.66688716,32.9448049,Autosome,Peromyscus
LOC114693431,23.48629302,15.56649867,21.86701946,0,Autosome,Peromyscus
LOC114693432,41.75340981,57.07716177,27.33377433,25.88520385,Autosome,Peromyscus
LOC114693414,49.58217415,49.29391244,21.86701946,28.2384042,Autosome,Peromyscus
LOC114693415,26.09588113,28.53858089,19.13364203,28.2384042,Autosome,Peromyscus
LOC114693416,26.09588113,25.94416444,21.86701946,28.2384042,Autosome,Peromyscus
Snx6,0.042073579,0.031371729,0.077121443,0.056909879,Autosome,Peromyscus
Cfl2,0,0,0.155758825,0,Autosome,Peromyscus
Baz1a,0.062260291,0.080943958,0.050164378,0.030231018,Autosome,Peromyscus
LOC114693427,3.962707876,3.939669415,8.301368499,0,Autosome,Peromyscus
LOC114693395,1.758309164,3.030016905,2.823965948,1.691262043,Autosome,Peromyscus
LOC114693375,0.083937327,0.095370664,0.175838015,0.05406473,Autosome,Peromyscus
Srp54,0.158105731,0.078593267,0.051751778,0.026732269,Autosome,Peromyscus
Fam177a1,0.112140355,0.267572139,0.023491977,0.02022455,Autosome,Peromyscus
Ppp2r3c,0.019418869,0.038611942,0.020340029,0.017510997,Autosome,Peromyscus
LOC114693372,0.082273915,0.118603605,0.081867854,0.196605189,Autosome,Peromyscus
Psma6,0.164809582,0.151247454,0.265580839,0.388691426,Autosome,Peromyscus
Nfkbia,0.632347001,0.377202391,0.794811878,0.342131966,Autosome,Peromyscus
LOC114693379,6.397971988,4.985472569,11.22948757,8.420178706,Autosome,Peromyscus
LOC114693407,12.52113665,9.958672835,8.393659898,7.903668816,Autosome,Peromyscus
Insm2,22.19588864,21.17909913,16.70171009,11.61800614,Autosome,Peromyscus
Ralgapa1,0.048604954,0.065718428,0.050910595,0.050842332,Autosome,Peromyscus
LOC114693383,0,0,0,0,Autosome,Peromyscus
Brms1l,0.225192219,0.255866277,0.089856958,0.193397573,Autosome,Peromyscus
LOC114693385,0.540778937,0.483871452,0.226572605,0.146294487,Autosome,Peromyscus
LOC119089052,0,0,0.726537924,0.208495331,Autosome,Peromyscus
LOC119088976,6.609833141,6.20317951,5.5058772,3.776650403,Autosome,Peromyscus
